作者
冯延巳
七岁女子
上元夫人
久则
子兰
子泰
太乙真君
太白山神
太易
太原妓
幻梦
无名氏
崔国辅
李益
崔涂
木客
去奢
处默
失撰人名
亚栖
先汪
武则天
吏部选人
如满
纥干讽
纥干著
自在
王轩
西施
西鄙人
观梅女仙
论惟明
贞元文士
伶人
佚名
含曦
妙女
志定
志勤
护国
皎然
灵一
灵业
灵准
灵澈
灵默
芙蓉古丈夫　毛女
邻道场人
净显
昙伦
昙域
昙靖
河中鬼
河北士人
河湄鬼
油蔚
泠然
直言
知业
知玄
郭翰
织女
织锦人
李亨
苐五琦
若水
若耶溪女子
若虚
临川小吏
临淄县主
复礼
契盈
客户里女子
峡中白衣
庭实
恒超
拾得
故台城妓
李晔
洞庭龙君
省吏
眉娘
神迥
神颖
神赞
选人
郢展
冢中人
冥吏
哥舒翰
座客
息夫牧
栖一
栖白
栖蟾
桃花夫人
浙东众诗人
浩虚舟
病狂人
耽章
莲花妓
谁氏女
郫城令
骊山游人
密陀僧
庸仁杰
惟审
惟俨
捧剑仆
颜真卿
王维
秾华
虚中
辅国将军
鸿渐
婺州山中人
敦煌人作品
敦煌曲子
晁衡
湘中蛟女
湘妃庙
湘驿女子
萼岭书生
谦光
隔窗鬼
李璟
嵩山女
嵩岳诸仙
新罗僧
粲和尚
蜀中酒阁道人
蜀太后徐氏
蜀太妃徐氏
王衍
蜀宫群仙
蜀高祖王建
鉴空
僖宗宫人
僖宗朝北省官
漳郡守
李旦
舒元舆
韬光
慧忠
慧宣
慧能
慧超
慧藏
樵夫
澹交
辨才
辨正
襄阳旅殡举人
瀵水神
懿宗朝举子
□钊
□嘉惠
丁元和
丁仙芝
丁位
丁居晦
丁棱
丁儒
九华山白衣
卜天寿
万回
万齐融
万彤云
万楚
万俟造
上官婉儿
义净
于尹躬
于休烈
于兴宗
于良史
于邵
于武陵
于邺
于季子
于经野
于结
于敖
于逖
于鹄
于瑰
于頔
于濆
罗隐
卫万
卫中行
卫叶
卫光一
卫准
卫象
卫填
大义
大同济禅师
大闲
大易
大愚
大颠
广利王女
广宣
广陵道士
弓嗣初
马云奇
马令
马冉
马吉甫
马异
马怀素
韦承庆
马总
马彧
马逢
马植
马湘
马戴
项斯
不详
张九龄
田娥
柳藏经
黄万祜
普满
李微
长须国驸马
令狐楚顾非熊
皮日休
严含质
吴越王与陶谷
高骈薛涛
曹著
越中狂生
沈亚之
方干李主簿
裴勋父子
李显
中寤
丰干
书生
云台峰五女仙
云表
云容
仁俭
介胄鬼
元万顷
元友让
元友直
元孚
元希声
元和举子
元季川
元结
元晟
元础
元载
元寂
元晦
元淳
元兢
元凛
元德昭
元稹
公乘亿
公畿和尚
公孙杲
卞震
天宝时人
天宝宫人
天峤游人
天然
孔氏
孔仲良
孔温业
孔颙
尹鹗
尹璞
尹懋
巴峡鬼
巴陵馆鬼
开元宫人
开元儒士
开成时儒
开成朝士
戈牢
文丙
文秀
文宗皇帝
文益
文偃
文鉴
方干
韦庄
戴叔伦
喻凫
方壶居士
方棫
方愚
无了
无可
无则
无名女鬼
无名鬼
无名释
无住
无作
无闷
毛女正美
毛文锡
毛明素
毛炳
毛涣
毛熙震
水心寺僧
水府君
水神
牛凤及
牛殳
牛丛
牛希济
牛峤
牛僧孺
牛徵
王之涣
王干
王仁裕
王巨仁
王无竞
王氏
王氏女
王氏妇
王丘
王仙仙
王正己
王乔
王仲舒
王传
王光庭
王师闵
王延彬
王廷圭
王有初
王约
王观
王贞白
朱景玄
王严
王严光
王丽真
王位之
王初
王宏
王希羽
王希明
王志安
王沂
王沈
王纬
王良士
王良会
王苏苏
王龟
王卓
王季友
王季文
王季则
王岳灵
王建
王承邺
王拊
王昌龄
高适
王易从
王易简
王枢
王武陵
王泠然
王炎
王绍宗
王若岩
王茂时
王表
王质
王迥
王驾
王俊
王勃
王勔
王彦威
王枳
王甚夷
王柷
王适
王损之
王浚
王涣
王涤
王烈
王继勋
王继鹏
王起
王通
王邕
王铎
王偃
王晙
王梵志
王涯
王硕
王绰
王绶
王铤
王储
王景
王景中
王智兴
王湾
王琚
王羡门
王越宾
王鲁
王鲁复
王感化
王毂
王瑀
王福娘
王缙
王鉴
王韫秀
王熊
王睿
王锴
王履贞
王德真
王播
王镕
王璘
王翰
王諲
史青
王镣
王霞卿
王瓒
王?
邓陟
邓倚
长安中鬼
长屋
长孙无忌
长孙正隐
长孙佐转妻
长孙佐辅
长孙铸
长孙镒
长孙翱
韦丹
韦元旦
韦元甫
韦处厚
韦冰
韦同则
韦安石
薛涛
韦式
韦执中
韦坚
韦希损
韦应物
杜审言
张萧远
韦抗
韦纾
韦建
杜牧
崔道融
韦承贻
韦表微
韦贯之
韦迢
韦述
韦青
韦洪
韦济
韦夏卿
韦振
韦皋
韦检亡姬
韦检
韦渠牟
韦绶
韦斌
韦道逊
韦铿
韦鼎
韦嗣立
韦鹏翼
韦澳
韦璜
韦遵
韦镒
韦蟾
韦瓘
丘上卿
丘丹
丘为
丘光庭
丘说
东方虬
乐仲卿
乐伸
代宗
令狐峘
令狐绹
令狐楚
冯少吉
冯伉
冯待徵
冯晖
冯涓
冯衮
冯宿
冯涯
冯著
冯道
冯道之
冯道幕客
冯戡
包何
包佶
包贺
包融
卢士玫
卢士衡
卢从愿
卢元辅
卢文纪
卢仝
卢休
卢并
卢延让
卢汝弼
卢贞
卢真
卢怀慎
卢条
卢求
卢秀才
卢纶
严维
卢言
卢邺
卢宗回
卢尚书
卢尚卿
卢征
卢注
卢茂钦
卢拱
卢绛
卢钧
卢顺之
卢骈
卢栯
卢殷
卢载
卢邕
卢崇道
卢象
卢鸿一
卢储
卢景亮
卢渥
卢嗣业
卢嗣立
卢携
卢溵
卢照邻
卢献卿
卢群
卢群玉
卢鉟
卢频
卢僎
卢肇
卢藏用
厉玄
古之奇
可止
可朋
可隆
史凤
史延
史昂
史俊
史思明
史虚白
史瑜
叶元良
叶季良
司马扎
司马承祯
司马退之
司马都
司马逸客
司空图
司空曙
尔鸟
左偃
布燮
平曾
归仁
归氏子
归登
本净
本寂
汉皓
玄宝
玄幽
玄觉
甘洽
甘露寺鬼
田达诚借宅鬼
田章
田游岩
田澄
申欢
申堂构
白元鉴
白行简
白居易
白衫举子
白敏中
白履忠
皮光业
石文德
石召
石严
石季武
石抱忠
石贯
石恪
石倚
石殷士
石惠泰
龙女
龙护老人
乔氏
乔侃
乔备
乔知之
乔琳
乔舜
乔潭
任公叔
任氏
任生
任华
任希古
任玠
任彦思家鬼
任要
任涛
任翻
伊用昌
伊梦昌
伊璠
伍唐圭
伏牛小师
光威裒
全济时
关盼盼
刘乙
刘义度
刘叉
刘山甫
刘云
刘允济
刘元叔
刘公兴
刘升
刘友贤
刘太冲
刘太真
刘方平
刘氏云
刘氏妇
刘长川
刘长卿
刘处约
刘夷道
刘庄物
刘延坚
刘舟
刘行敏
刘伯翁
刘孝孙
刘希夷
刘怀一
刘沧
刘媛
刘皂
刘言史
刘谷
刘邺
刘侍读
刘坦
刘炎
刘知几
刘祎之
刘迥
刘郇伯
刘采春
刘驾
刘复
刘威
刘宪
刘幽求
刘庭琦
刘昭禹
刘洎
刘畋
刘禹锡
刘轲
刘损
刘晃
刘晏
刘皋
刘真
刘耕
刘商
刘崇龟
刘崇鲁
刘得仁
刘望
刘淑柔
刘猛
刘章
刘绮庄
刘虚白
刘象
刘敬之
刘景复
刘湾
刘溉
刘道昌
刘鲁风
刘廓
刘慎虚
刘暌
刘戬
刘瑶
刘蕃
刘遵古
刘羲叟
刘赞
刘璐
刘{王曳}
厍狄履温
吉中孚
李从谦
吉师老
吉皎
同谷子
钱俶
李衍
李存勖
吕太一
吕令问
吕让
吕价
吕岩
牧童
吕炅
吕牧
吕敞
吕温
吕渭
吕群
夷陵女郎
孙子多
孙元晏
孙氏
孙处玄
孙合
孙岘
孙纬
孙佺
孙叔向
孙定
孙昌胤
孙欣
孙咸
孙翃
孙逖
孙顾
孙偓
孙棨
孙鲂
孙蜀
孙頠
宇文鼎
宇文融
安守范
安邑坊女
安锜
师鼐
庄若讷
庄南杰
庄翱
戎昱
成彦雄
成真人
成都醉道士
成辅端
成崿
曲龙山仙
曲信陵
曲崇裕
曲瞻
朱千乘
朱子真
朱子奢
朱元
朱少端
朱长文
朱可名
朱休
朱光弼
朱冲和
朱华
朱协
朱存
朱庆馀
朱延
朱延龄
朱均
朱评之
朱放
朱泽
朱昼
朱绛
朱宿
朱晦
朱逵
朱湾
朱琳
朴昂
权龙褒
权龙襄
权彻
权审
权德舆
次休
毕乾泰
毕耀
江为
江采蘋
江油令
江陵士子
汤洙
牟融
米岭和尚
米都知
红绡妓
红螺山和尚
纪元皋
纪唐夫
羊士谔
羊昭业
羊滔
行满
许三畏
许大
许天正
许兰
许尧佐
许宏
许远
许孟容
许学士
许岷
许玫
许宣平
许昼
许浑
许圉师
许康佐
许彬
许景先
许棠
张泌（佖
许鼎
许碏
许瑶
许稷
许瀍
邢允中
邢凤
邢巨
邢象玉
邢群
邬载
阳城
阴行先
齐己
齐光乂
齐安和尚
齐浣
齐推
齐镐
严公贶
严公弼
严巨川
严氏
严休复
严向
严识玄
严武
严恽
严郾
严震
严嶷
何千里
何元
何元上
何仲举
何仲宣
何兆
何坚
何希尧
何扶
何昌龄
何涓
何鸾
何敬
何频瑜
何儒亮
何赞
余鼎
冷朝光
冷朝阳
利涉
吴人
吴士矩
吴大江
吴子来
吴丹
吴仁璧
吴公
吴少微
吴巩
吴叔达
吴武陵
吴圆
吴晃
吴烛
吴秘
吴商浩
吴彩鸾
吴涵虚
吴清妻
吴豸之
钱镠
吴筠
吴兢
吴融
吴霭
吴顗
员半千
员南溟
宋之问
宋元素
宋务光
宋休
宋华
宋齐丘
宋若华
宋若宪
宋若昭
宋迪
宋昱
宋济
宋家娘子
宋鼎
宋雍
宋璟
岑参
岑羲
希迁
希道
应物
应真
张又新
张万顷
张义方
张大安
张子明
张子容
张干
张为
张云容
张仁宝
张仁溥
张元一
张元宗
张公乂
张友正
张太华
张夫人
张少博
张文成
张文规
张文姬
张文恭
张文琮
张氏
张氏女
张牙
张丛
张令问
张司马
张弘靖
张正一
张正元
张汇
张生
张生妻
张白
张立
张乔
李峤
张仲方
张仲素
张仲谋
张众甫
张光朝
张守中
张安石
张巡
张旭
张聿
张齐贤
张佐
张何
张均
张孜
张希复
张彤
张志和
张怀
张怀庆
张怀瓘
张抃
张灿
张纮
张良器
张良璞
张叔良
张叔卿
张固
张季略
张建封
张昌宗
张易之
张昔
张松龄
张林
张果
张泌
张直
张祎
张绍
张若虚
张茔
张诚
张迥
张顶
张保胤
张保嗣
张俨
张南史
张南容
张垍
张复
张复元
张宣明
张彦雄
张昭
张柬之
张浑
张炽
张省躬
张祜
张荐
张说
张贲
张轸
张钦敬
张栖贞
张格
张殷衡
张烜
张称
张窈窕
张继
张脩之
张衮
张贾
张起
张陵
张崇杰
张彪
张渐
张绮
张绰
张谓
张谔
张野人
张随
张鸿
张博望
张循之
张敬忠
张敬徽
张景源
张琰
张瑛
张登
张翔
张翚
张道古
张道符
张鲁封
张鼎
